Taget:	Current:	Delta:	PWM:	pp:	ip:	dp:	Time: 			Initial	tcGoal	rtLow	rtHigh		kp	Ki	kd
50	53	-3	53,71	-3	56,71	0	137,529										
50	53	-3	53,61	-3	56,61	0	137,862										
50	53	-3	53,51	-3	56,51	0	138,195										
50	53	-3	53,41	-3	56,41	0	138,528										
50	53	-3	53,31	-3	56,31	0	138,861										
50	53	-3	53,21	-3	56,21	0	139,194										
50	53	-3	53,11	-3	56,11	0	139,527										
50	53	-3	53,01	-3	56,01	0	139,86										
50	53	-3	52,91	-3	55,91	0	140,193										
50	53	-3	52,81	-3	55,81	0	140,526										
50	53	-3	52,711	-3	55,711	0	140,859										
50	52,5	-2,5	53,127	-2,5	55,627	0	141,192										
50	53	-3	52,527	-3	55,527	0	141,525										
50	52,5	-2,5	52,944	-2,5	55,444	0	141,858										
50	52,5	-2,5	52,861	-2,5	55,361	0	142,191										
50	52,5	-2,5	52,778	-2,5	55,278	0	142,524										
50	52,5	-2,5	52,694	-2,5	55,194	0	142,857										
50	52,5	-2,5	52,611	-2,5	55,111	0	143,19										
50	52,5	-2,5	52,528	-2,5	55,028	0	143,523										
50	52,5	-2,5	52,445	-2,5	54,945	0	143,856										
50	52,5	-2,5	52,361	-2,5	54,861	0	144,189										
50	52,5	-2,5	52,278	-2,5	54,778	0	144,522										
50	52,5	-2,5	52,195	-2,5	54,695	0	144,855										
50	52,5	-2,5	52,112	-2,5	54,612	0	145,188										
50	52,5	-2,5	52,028	-2,5	54,528	0	145,521										
50	52,5	-2,5	51,945	-2,5	54,445	0	145,854										
50	52,5	-2,5	51,862	-2,5	54,362	0	146,187										
50	52,5	-2,5	51,779	-2,5	54,279	0	146,52										
50	52,5	-2,5	51,695	-2,5	54,195	0	146,853										
50	52,5	-2,5	51,612	-2,5	54,112	0	147,186										
50	52,5	-2,5	51,529	-2,5	54,029	0	147,519										
50	52,5	-2,5	51,446	-2,5	53,946	0	147,852										
50	52,5	-2,5	51,362	-2,5	53,862	0	148,185										
50	52,5	-2,5	51,279	-2,5	53,779	0	148,518										
50	52,5	-2,5	51,196	-2,5	53,696	0	148,851										
50	52,5	-2,5	51,113	-2,5	53,613	0	149,184										
50	52,5	-2,5	51,029	-2,5	53,529	0	149,517										
50	52,5	-2,5	50,946	-2,5	53,446	0	149,85										
50	52,5	-2,5	50,863	-2,5	53,363	0	150,183										
50	52,5	-2,5	50,78	-2,5	53,28	0	150,516										
50	52,5	-2,5	50,696	-2,5	53,196	0	150,849										
50	52,5	-2,5	50,613	-2,5	53,113	0	151,182										
50	52,5	-2,5	50,53	-2,5	53,03	0	151,515										
50	52,5	-2,5	50,447	-2,5	52,947	0	151,848										
50	52,5	-2,5	50,363	-2,5	52,863	0	152,181										
50	52,5	-2,5	50,28	-2,5	52,78	0	152,514										
50	52,5	-2,5	50,197	-2,5	52,697	0	152,847										
50	52,5	-2,5	50,114	-2,5	52,614	0	153,18										
50	52,5	-2,5	50,03	-2,5	52,53	0	153,513										
50	52,5	-2,5	49,947	-2,5	52,447	0	153,846										
50	52,5	-2,5	49,864	-2,5	52,364	0	154,179										
50	52,5	-2,5	49,781	-2,5	52,281	0	154,512										
50	52,5	-2,5	49,697	-2,5	52,197	0	154,845										
50	52,5	-2,5	49,614	-2,5	52,114	0	155,178										
50	52	-2	50,047	-2	52,047	0	155,511										
50	52	-2	49,981	-2	51,981	0	155,844										
50	52	-2	49,914	-2	51,914	0	156,177										
50	52	-2	49,848	-2	51,848	0	156,51										
50	52	-2	49,781	-2	51,781	0	156,843										
50	52	-2	49,714	-2	51,714	0	157,176										
50	52	-2	49,648	-2	51,648	0	157,509										
50	52	-2	49,581	-2	51,581	0	157,842										
50	52	-2	49,515	-2	51,515	0	158,175										
50	52	-2	49,448	-2	51,448	0	158,508										
50	52	-2	49,381	-2	51,381	0	158,841										
50	52	-2	49,315	-2	51,315	0	159,174										
50	52	-2	49,248	-2	51,248	0	159,507										
50	52	-2	49,182	-2	51,182	0	159,84										
50	52	-2	49,115	-2	51,115	0	160,173										
50	52	-2	49,048	-2	51,048	0	160,506										
50	52	-2	48,982	-2	50,982	0	160,839										
50	52	-2	48,915	-2	50,915	0	161,172										
50	52	-2	48,849	-2	50,849	0	161,505										
50	52	-2	48,782	-2	50,782	0	161,838										
50	52	-2	48,715	-2	50,715	0	162,171										
50	52	-2	48,649	-2	50,649	0	162,504										
50	52	-2	48,582	-2	50,582	0	162,837										
50	52	-2	48,516	-2	50,516	0	163,17										
50	52	-2	48,449	-2	50,449	0	163,503										
50	52	-2	48,382	-2	50,382	0	163,836										
50	52	-2	48,316	-2	50,316	0	164,169										
50	52	-2	48,249	-2	50,249	0	164,502										
50	52	-2	48,183	-2	50,183	0	164,835										
50	52	-2	48,116	-2	50,116	0	165,168										
50	52	-2	48,049	-2	50,049	0	165,501										
50	52	-2	47,983	-2	49,983	0	165,834										
50	52	-2	47,916	-2	49,916	0	166,167										
50	52	-2	47,85	-2	49,85	0	166,5										
50	52	-2	47,783	-2	49,783	0	166,833										
50	52	-2	47,716	-2	49,716	0	167,166										
50	52	-2	47,65	-2	49,65	0	167,499										
50	52	-2	47,583	-2	49,583	0	167,832										
