Taget:;Current:;Delta:;PWM:;pp:;ip:;dp:
50,0;51,5;-1,5;54,026;-3,000;56,876;0,150
50,0;52,0;-2,0;52,659;-4,000;56,810;-0,150
50,0;51,5;-1,5;53,910;-3,000;56,760;0,150
50,0;51,5;-1,5;53,710;-3,000;56,710;0,000
50,0;52,0;-2,0;52,493;-4,000;56,643;-0,150
50,0;51,5;-1,5;53,743;-3,000;56,593;0,150
50,0;51,5;-1,5;53,543;-3,000;56,543;0,000
50,0;51,5;-1,5;53,493;-3,000;56,493;0,000
50,0;51,5;-1,5;53,443;-3,000;56,443;0,000
50,0;51,5;-1,5;53,393;-3,000;56,393;0,000
50,0;51,5;-1,5;53,343;-3,000;56,343;0,000
50,0;51,5;-1,5;53,293;-3,000;56,293;0,000
50,0;51,5;-1,5;53,244;-3,000;56,244;0,000
50,0;51,5;-1,5;53,194;-3,000;56,194;0,000
50,0;51,5;-1,5;53,144;-3,000;56,144;0,000
50,0;51,5;-1,5;53,094;-3,000;56,094;0,000
50,0;51,5;-1,5;53,044;-3,000;56,044;0,000
50,0;51,5;-1,5;52,994;-3,000;55,994;0,000
50,0;51,5;-1,5;52,944;-3,000;55,944;0,000
50,0;51,5;-1,5;52,894;-3,000;55,894;0,000
50,0;51,5;-1,5;52,844;-3,000;55,844;0,000
50,0;51,5;-1,5;52,794;-3,000;55,794;0,000
50,0;51,5;-1,5;52,744;-3,000;55,744;0,000
50,0;51,5;-1,5;52,694;-3,000;55,694;0,000
50,0;51,5;-1,5;52,644;-3,000;55,644;0,000
50,0;51,5;-1,5;52,594;-3,000;55,594;0,000
50,0;51,5;-1,5;52,544;-3,000;55,544;0,000
50,0;51,5;-1,5;52,494;-3,000;55,494;0,000
50,0;51,5;-1,5;52,444;-3,000;55,444;0,000
50,0;51,5;-1,5;52,394;-3,000;55,394;0,000
50,0;51,5;-1,5;52,344;-3,000;55,344;0,000
50,0;51,5;-1,5;52,294;-3,000;55,294;0,000
50,0;51,5;-1,5;52,245;-3,000;55,245;0,000
50,0;51,5;-1,5;52,195;-3,000;55,195;0,000
50,0;51,5;-1,5;52,145;-3,000;55,145;0,000
50,0;51,5;-1,5;52,095;-3,000;55,095;0,000
50,0;51,5;-1,5;52,045;-3,000;55,045;0,000
50,0;51,5;-1,5;51,995;-3,000;54,995;0,000
50,0;51,5;-1,5;51,945;-3,000;54,945;0,000
50,0;51,5;-1,5;51,895;-3,000;54,895;0,000
50,0;51,5;-1,5;51,845;-3,000;54,845;0,000
50,0;51,5;-1,5;51,795;-3,000;54,795;0,000
50,0;51,5;-1,5;51,745;-3,000;54,745;0,000
50,0;51,5;-1,5;51,695;-3,000;54,695;0,000
50,0;51,5;-1,5;51,645;-3,000;54,645;0,000
50,0;51,5;-1,5;51,595;-3,000;54,595;0,000
50,0;51,5;-1,5;51,545;-3,000;54,545;0,000
50,0;51,5;-1,5;51,495;-3,000;54,495;0,000
50,0;51,5;-1,5;51,445;-3,000;54,445;0,000
50,0;51,5;-1,5;51,395;-3,000;54,395;0,000
50,0;51,5;-1,5;51,345;-3,000;54,345;0,000
50,0;51,5;-1,5;51,295;-3,000;54,295;0,000
50,0;51,5;-1,5;51,245;-3,000;54,245;0,000
50,0;51,5;-1,5;51,196;-3,000;54,196;0,000
50,0;51,5;-1,5;51,146;-3,000;54,146;0,000
50,0;51,5;-1,5;51,096;-3,000;54,096;0,000
